날짜,강수량(mm)
2017-07-16,22.5
2017-07-17,7.5
2017-07-18,2.5
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,0.5
2017-07-23,133.5
2017-07-24,3
2017-07-25,
2017-07-26,
2017-07-27,3.5
2017-07-28,8.5
2017-07-29,0
2017-07-30,
2017-07-31,3.5
2017-08-01,2
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,0
2017-08-06,5
2017-08-07,
2017-08-08,
2017-08-09,2.5
2017-08-10,5.5
2017-08-11,0.5
2017-08-12,
2017-08-13,0
2017-08-14,1.5
2017-08-15,93.5
2017-08-16,2
2017-08-17,0.5
2017-08-18,0
2017-08-19,0
2017-08-20,124.5
2017-08-21,5
2017-08-22,
2017-08-23,31.5
2017-08-24,14
2017-08-25,
2017-08-26,
2017-08-27,0
2017-08-28,9
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,0
2017-09-06,2
2017-09-07,
2017-09-08,
2017-09-09,
2017-09-10,0.5
2017-09-11,24
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-16,
2017-09-17,
2017-09-18,
2017-09-19,8
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-23,0
2017-09-24,0
2017-09-25,
2017-09-26,0
2017-09-27,0.5
2017-09-28,
2017-09-29,
2017-09-30,
2017-10-01,4
2017-10-02,1.5
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,0.5
2017-10-07,0
2017-10-08,
2017-10-09,0
2017-10-10,0.4
2017-10-11,20
2017-10-12,
2017-10-13,
2017-10-14,
2017-10-15,
2017-10-16,
2017-10-17,
2017-10-18,0.1
2017-10-19,
2017-10-20,
2017-10-21,
2017-10-22,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-28,
2017-10-29,
2017-10-30,
2017-10-31,
2018-05-01,0
2018-05-02,12
2018-05-03,1
2018-05-04,
2018-05-05,
2018-05-06,22
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-12,32
2018-05-13,0.5
2018-05-14,
2018-05-15,0
2018-05-16,45
2018-05-17,83
2018-05-18,6.5
2018-05-19,
2018-05-20,
2018-05-21,
2018-05-22,12.5
2018-05-23,6.5
2018-05-24,
2018-05-25,
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,1
2018-05-30,0
2018-05-31,
2018-06-01,
2018-06-02,
2018-06-03,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-09,0.5
2018-06-10,0.5
2018-06-11,5
2018-06-12,0
2018-06-13,0
2018-06-14,29
2018-06-15,16.5
2018-06-16,
2018-06-17,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-23,
2018-06-24,
2018-06-25,
2018-06-26,71.5
2018-06-27,1
2018-06-28,26.5
2018-06-29,6.5
2018-06-30,14.5
2018-07-01,83.5
2018-07-02,59.5
2018-07-03,0.1
2018-07-04,
2018-07-05,0.5
2018-07-06,
2018-07-07,
2018-07-08,
2018-07-09,14
2018-07-10,16.5
2018-07-11,3
2018-07-12,1
2018-07-13,
2018-07-14,0
2018-07-15,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-21,
2018-07-22,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-28,7.5
2018-07-29,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
2018-08-04,
2018-08-05,2
2018-08-06,6.5
2018-08-07,
2018-08-08,
2018-08-09,2
2018-08-10,
2018-08-11,
2018-08-12,5
2018-08-13,1
2018-08-14,
2018-08-15,1
2018-08-16,
2018-08-17,
2018-08-18,
2018-08-19,
2018-08-20,0
2018-08-21,5
2018-08-22,
2018-08-23,3
2018-08-24,7.5
2018-08-25,
2018-08-26,2
2018-08-27,19.5
2018-08-28,96.5
2018-08-29,42
2018-08-30,9.5
2018-08-31,0.1
