ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-04-15,19563,8838,18784,325,105,8694,493,2164,1387,2936,107,46,435,27,1549,1450,2726,86,10,172,5,3539,2595,4335,665,125,182,827
2015-04-16,12352,6435,9370,94,85,8881,357,950,815,1320,48,30,329,38,678,745,1240,129,0,54,0,2195,1830,2642,696,37,133,517
2015-04-17,17117,8938,13630,249,136,11884,156,2374,2346,4148,97,26,436,13,1680,2098,3250,247,19,178,84,4063,2859,5262,817,167,134,542
2015-04-18,22770,5021,15712,282,75,11537,185,4085,2593,6132,196,33,195,122,3593,1741,5097,142,8,87,0,6164,4317,9016,661,195,156,453
2015-04-19,15258,2150,9935,365,366,6640,102,1440,824,1706,104,32,332,90,920,317,1075,35,4,123,0,2633,1002,2576,536,58,90,375
2015-04-20,15547,5515,13325,227,321,6969,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,0,0,0,0,0,0,0,3384,2469,4225,151,61,1274,142,1808,1452,2997,140,6,55,62,5176,6990,9150,1211,259,599,947
2015-04-22,18707,9199,18016,559,119,8355,857,2025,1752,3275,129,26,307,40,1144,933,1936,57,0,80,4,2891,3313,4984,712,107,114,287
2015-04-23,16652,11463,20779,351,225,6236,524,1598,1297,2574,64,29,171,57,1147,1005,2012,82,6,50,2,2969,3099,4806,458,75,103,626
2015-04-24,17149,8273,11042,687,369,13028,296,1932,1962,3513,92,39,185,65,1257,1190,2255,144,17,26,5,3362,2695,4493,709,92,236,527
2015-04-25,21792,7335,15985,472,241,11901,528,4314,2708,6577,110,63,226,46,3093,1704,4713,35,16,30,3,5327,2967,6703,884,132,287,288
2015-04-26,23651,4205,22476,196,110,4852,222,3588,2101,4457,226,53,898,55,2672,1569,4138,90,6,6,1,4918,2512,5737,942,101,181,469
2015-04-27,15809,6212,18881,273,159,2617,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,0,0,0,0,0,0,0,3020,2742,4072,452,34,1075,129,1154,2032,3038,109,6,14,19,5328,5886,7535,863,99,2020,697
